Date,Open,High_ETH_EUR,Low_ETH_EUR,Volume,Index Value,High_OMX,Low_OMX,Total Market Value,Dividend Market Value
2017-08-25,276.98,287.0,275.55,3144.14174908,1573.73,1582.4,1570.16,602686219335.0,0.0
2017-08-26,280.33,281.19,275.2,1285.30101917,,,,,
2017-08-27,280.79,287.8,280.25,1382.77976164,,,,,
2017-08-28,287.66,293.87,284.55,2729.82901706,1566.28,1572.83,1563.7,599830875628.0,0.0
2017-08-29,291.99,314.75,290.24,7669.57661211,1551.63,1565.23,1544.71,594220460063.0,0.0
2017-08-30,314.1,328.0,304.85,8285.84404504,1567.95,1569.41,1554.07,600471602894.0,0.0
2017-08-31,325.51,330.0,316.88,5338.20849884,1586.3,1588.25,1569.93,607499610657.0,0.0
2017-09-01,329.06,334.96,327.0,5291.10927683,1595.34,1597.11,1584.71,610962198307.0,0.0
2017-09-02,330.43,330.65,282.15,12610.30728198,,,,,
2017-09-03,289.9,314.5,289.9,6260.28420336,,,,,
2017-09-04,298.64,299.9,240.0,23406.28939954,1587.64,1593.95,1581.67,608012707796.0,0.0
2017-09-05,269.67,281.0,239.63,11923.47147629,1579.48,1592.82,1579.48,604885766294.0,0.0
2017-09-06,272.65,292.42,267.92,9997.71833491,1575.43,1579.83,1567.98,603335323200.0,0.0
2017-09-07,284.79,286.76,271.2,5231.73923423,1579.15,1580.98,1568.53,604759522296.0,0.0
2017-09-08,280.49,280.49,246.01,13050.08409186,1574.39,1578.99,1571.22,602936717823.0,0.0
2017-09-09,259.47,262.2,246.15,2775.38562946,,,,,
2017-09-10,254.2,258.1,236.5,5719.81586324,,,,,
2017-09-11,255.01,258.11,241.51,2529.62153928,1591.34,1592.64,1575.63,609428470578.0,0.0
2017-09-12,252.01,267.4,240.21,7421.40863688,1603.22,1606.77,1592.43,613976879130.0,0.0
2017-09-13,249.29,249.48,211.0,15276.08496272,1601.27,1602.81,1595.09,613231762164.0,91026781.0
2017-09-14,234.98,236.99,185.14,18498.32257021,1605.57,1605.66,1599.59,614877247625.0,0.0
2017-09-15,192.76,225.0,167.26,34035.44865727,1595.86,1606.93,1595.14,611158714986.0,0.0
2017-09-16,220.0,232.44,206.1,11159.25155883,,,,,
2017-09-17,215.99,226.97,200.02,6267.02559437,,,,,
2017-09-18,220.66,255.52,219.02,13400.64786499,1605.47,1607.73,1597.53,614839521229.0,0.0
2017-09-19,247.0,249.8,231.42,6656.72807927,1601.92,1606.62,1600.43,613479047589.0,0.0
2017-09-20,236.21,246.42,233.0,3770.91015116,1604.74,1609.37,1600.87,614559397768.0,0.0
2017-09-21,242.71,243.15,209.55,9538.3257329,1613.82,1615.63,1605.16,618038080823.0,0.0
2017-09-22,218.49,228.0,215.0,5653.53018759,1613.14,1613.92,1607.42,617777090145.0,0.0
2017-09-23,224.19,249.43,221.0,6074.5259725,,,,,
2017-09-24,239.5,246.62,236.38,4275.94695563,,,,,
2017-09-25,242.0,253.4,240.0,5023.0574977,1618.3,1622.92,1610.44,619754276672.0,0.0
2017-09-26,249.23,251.74,244.25,3592.44922913,1611.15,1618.0,1609.91,617014834341.0,102921435.0
2017-09-27,246.05,269.79,244.65,6673.94922754,1620.98,1622.88,1612.17,620780020893.0,0.0
2017-09-28,264.16,269.89,251.0,4655.69484743,1625.57,1626.07,1619.8,622537984391.0,0.0
2017-09-29,257.69,261.1,231.0,6484.64090828,1623.97,1628.91,1617.32,621926615096.0,0.0
2017-09-30,249.68,259.38,248.6,1699.08633069,,,,,
2017-10-01,256.8,258.55,251.01,1183.7547652,,,,,
2017-10-02,256.69,260.4,251.0,4322.24989432,1638.72,1639.37,1628.52,627574570418.0,0.0
2017-10-03,256.0,257.21,246.59,3827.38469914,1647.67,1648.46,1640.05,631001604584.0,0.0
2017-10-04,250.39,255.0,249.25,1731.54556799,1653.4,1653.98,1646.44,633196973716.0,0.0
2017-10-05,250.02,253.0,247.1,2114.93833351,1655.55,1658.12,1650.4,634018471851.0,0.0
2017-10-06,253.0,259.71,251.73,2887.42670276,1648.22,1657.92,1645.88,631213558857.0,0.0
2017-10-07,259.8,265.93,259.5,1970.90050736,,,,,
2017-10-08,264.79,265.98,262.0,1674.11612443,,,,,
2017-10-09,262.79,263.91,244.1,6502.18882414,1651.55,1654.48,1649.45,632486206663.0,0.0
2017-10-10,252.97,260.88,248.01,3320.28034714,1646.75,1651.93,1646.01,630649904911.0,0.0
2017-10-11,254.82,260.88,253.0,2827.74605799,1646.45,1650.27,1644.34,630533002166.0,0.0
2017-10-12,256.21,259.0,255.1,3335.264777,1642.44,1649.12,1641.32,628999712696.0,0.0
2017-10-13,257.22,293.63,250.6,15841.10636706,1635.11,1642.29,1631.11,626189640596.0,0.0
2017-10-14,286.15,292.66,277.0,4666.27524842,,,,,
2017-10-15,290.89,290.9,271.7,8365.89391787,,,,,
2017-10-16,282.23,295.89,281.24,7361.89653994,1641.11,1642.69,1632.82,628489694297.0,0.0
2017-10-17,284.99,285.0,268.12,6104.04714082,1635.19,1642.74,1633.64,626220766172.0,0.0
2017-10-18,268.12,272.23,246.0,9098.85312598,1644.83,1649.94,1634.63,629915580050.0,0.0
2017-10-19,267.44,269.69,259.13,3559.78944925,1640.01,1649.96,1632.59,628067683049.0,0.0
2017-10-20,263.0,264.8,256.53,3766.04881782,1658.8,1660.45,1642.07,635264073551.0,0.0
2017-10-21,258.09,259.43,250.5,3882.52435118,,,,,
2017-10-22,257.07,263.0,250.2,2137.23377391,,,,,
2017-10-23,251.09,251.1,236.0,7377.25517065,1656.82,1661.85,1654.08,634504937610.0,283755385.0
2017-10-24,243.2,268.51,241.0,10132.12719062,1643.57,1655.9,1639.21,629433131951.0,0.0
2017-10-25,255.64,259.0,250.0,3569.13726604,1638.59,1647.77,1635.87,627523449207.0,0.0
2017-10-26,254.52,257.09,252.25,1891.10837221,1626.89,1641.14,1621.6,623044054204.0,0.0
2017-10-27,254.17,257.09,252.25,1618.81096372,1643.91,1644.74,1629.4,629560964695.0,344021510.0
2017-10-28,254.17,257.09,252.25,1618.81096372,,,,,
2017-10-29,255.11,270.0,255.11,3809.35683049,,,,,
2017-10-30,262.38,268.7,260.51,2666.74611344,1639.08,1647.94,1637.86,627712256075.0,0.0
2017-10-31,263.97,265.99,263.69,2390.87989103,1641.02,1645.55,1637.71,628453261817.0,0.0
2017-11-01,264.6,265.81,257.11,3969.07414171,1642.87,1649.71,1641.63,629163198772.0,0.0
2017-11-02,264.6,265.81,257.11,3969.07414171,1637.15,1650.7,1633.05,626974042199.0,0.0
2017-11-03,247.9,268.9,246.0,10309.93115309,1633.63,1641.96,1632.07,625625028383.0,0.0
2017-11-04,263.89,267.5,256.7,2925.70642865,,,,,
2017-11-05,260.35,261.98,257.0,2668.80623829,,,,,
2017-11-06,258.39,266.03,253.83,6424.15137344,1643.82,1645.3,1633.63,629526514369.0,0.0
2017-11-07,260.78,264.87,251.73,7582.55941673,1634.04,1648.1,1634.04,625781621616.0,0.0
2017-11-08,255.08,278.35,254.0,14006.38491821,1636.67,1641.92,1630.39,626788074142.0,0.0
2017-11-09,269.36,287.0,266.67,12322.38323034,1604.51,1636.32,1600.58,614471683098.0,0.0
2017-11-10,277.24,283.53,250.31,15702.45342563,1598.49,1607.21,1598.49,612167636779.0,0.0
2017-11-11,261.77,278.42,258.4,8891.77472184,,,,,
