Date,Open,High,Low,Volume
23/11/2017,324.66,363.46,322.1,28834.25262
24/11/2017,360.7,398.85,341.2,32661.28736
25/11/2017,390.08,408.35,382.64,19337.27192
26/11/2017,392,396.03,380.11,14914.18636
27/11/2017,393.5,411.49,390.08,17223.73947
28/11/2017,401,401,390,9762.375113
29/11/2017,393.66,439.32,338.05,49205.26801
30/11/2017,382.18,401.5,351.5,32101.51013
01/12/2017,392.13,400,371.7,13426.07051
02/12/2017,393.96,404,392.1,8656.432238
03/12/2017,399.07,404.99,390.12,11275.78352
04/12/2017,399.7,403.58,395.65,5529.465637
05/12/2017,399.21,401.31,388.34,11307.91471
06/12/2017,393.09,396.53,377.94,25432.85519
07/12/2017,380.11,405.5,353.03,40559.1118
09/12/2017,390.99,443.45,380,48321.07849
10/12/2017,413.25,416.9,375,17794.58475
11/12/2017,380.1,405,375.05,18167.44059
12/12/2017,399.86,547.95,399.82,86744.04423
13/12/2017,534.08,659.99,514.1,77680.37399
14/12/2017,592.31,631,551,34272.61839
15/12/2017,588.9,596,519,22129.38003
16/12/2017,588.06,610.96,581.65,13217.83018
17/12/2017,590.79,626,590.78,13828.46956
18/12/2017,617.86,679,582.01,29679.73871
19/12/2017,669,749,661,45067.77608
21/12/2017,680.09,720.9,639.88,22762.84037
22/12/2017,671.69,679.99,381.44,89482.07376
23/12/2017,638,688.98,565,26572.25484
24/12/2017,650.08,662.99,545,23377.77698
25/12/2017,593.01,669.09,593.01,14205.34324
26/12/2017,647.1,655,627.25,7800.559887
27/12/2017,636.65,662.79,630.01,12872.98388
28/12/2017,642,649.49,620,16266.35261
29/12/2017,629.96,662.43,629.8,12408.36114
30/12/2017,657.68,657.74,585.01,16690.68585
31/12/2017,629.99,658.75,605.01,12753.04397
01/01/2018,651.03,668.15,631.56,8830.761215
02/01/2018,658.77,765,657,32928.28062
03/01/2018,726.6,818.12,725.03,23982.78856
04/01/2018,819.04,860.23,786.77,33361.2339
05/01/2018,816.51,865,789,23529.93388
06/01/2018,807,842.99,800.99,8861.638761
07/01/2018,837.36,918,830.3,18587.49059
08/01/2018,897.79,997.56,827.94,43396.51171
09/01/2018,965.01,1097.5,951.22,33278.03393
10/01/2018,1065.6,1154,1011,41999.39375
11/01/2018,1033.4,1110,945,30898.21918
12/01/2018,962.43,1067.8,921,18857.15939
13/01/2018,1047.88,1183,1047.88,19843.5484
14/01/2018,1143.59,1148.78,1065.99,14380.09123
15/01/2018,1114.99,1146.66,1066,13993.25556
16/01/2018,1079.49,1079.5,680.9,94744.82291
17/01/2018,841,935.09,602.32,111108.9866
18/01/2018,834.79,939.99,787.28,48938.9417
19/01/2018,864.99,913.97,841,19090.70563
22/01/2018,845.65,900.08,751.93,31758.48595
23/01/2018,816,839.95,752,23148.88403
24/01/2018,820.85,859.5,785.89,13457.58141
25/01/2018,838.97,879.8,827.27,15152.94501
26/01/2018,854.76,863.52,803.28,17396.48937
27/01/2018,838.01,895.5,838,11774.75743
29/01/2018,985.02,988,930.5,14672.01015
30/01/2018,931.99,948.87,824,32242.8956
31/01/2018,869.99,899,826.37,15239.14877
01/02/2018,882.86,915,736,49042.77016
02/02/2018,795.99,819,560.27,94473.34413
04/02/2018,774.99,784,629.14,31630.81812
05/02/2018,678.9,683.85,485,85022.52207
06/02/2018,545,657.17,450.09,116327.803
07/02/2018,627.69,713.99,586,54816.49876
08/02/2018,647.85,695.14,612.5,32981.0866
09/02/2018,663,725,640,23925.61979
11/02/2018,697.49,708.5,635.66,17338.12799
12/02/2018,682.02,709,660,11801.9474
13/02/2018,704.11,707.79,675.9,8755.256314
14/02/2018,681.92,743.76,680.65,20888.11076
15/02/2018,743.63,769.71,721.47,18999.05657
16/02/2018,749.53,759.44,732.96,6812.128092
18/02/2018,788.9,795,733.29,10971.32293
19/02/2018,743.1,769.98,740.2,5008.584688
20/02/2018,758.47,775.55,721,10719.71959
21/02/2018,728.5,738.5,663,16094.11672
22/02/2018,685,710.05,641,12357.94249
23/02/2018,656.51,719.98,641.28,11270.26527
24/02/2018,694.5,711.12,661,5554.886038
26/02/2018,689.44,714.54,680,7176.487933
27/02/2018,707.64,727.52,702,5288.691613
28/02/2018,719.23,725,702.27,4500.287871
01/03/2018,707.01,716.6,696.56,3617.145397
02/03/2018,708.36,719.57,688.05,4228.973999
03/03/2018,697.41,704.35,686.11,2961.375592
04/03/2018,691.08,699,681.39,2068.369295
05/03/2018,696.74,700,691.39,3127.675808
06/03/2018,693.12,693.32,651.5,6176.619096
07/03/2018,661.99,664.34,585.2,12760.72158
08/03/2018,611.18,632.78,561,9146.257164
09/03/2018,562.5,579.28,520,14204.79917
12/03/2018,587.62,603.09,551.71,6245.860197
13/03/2018,562,578,551.3,4342.491203
14/03/2018,557.37,565.18,475,16330.73457
15/03/2018,486.6,505.66,463.57,10140.02686
16/03/2018,497,510,475.83,6143.821645
17/03/2018,497.69,497.69,438.77,9522.216862
18/03/2018,456.95,459.39,369.8,41744.79161
19/03/2018,433.1,459,421.02,16451.34233
20/03/2018,438.71,464.87,419,12121.709
21/03/2018,459.9,486,445.01,11009.04306
22/03/2018,450,466.47,422.12,7437.351983
23/03/2018,436,440.78,412.42,7187.661542
24/03/2018,429.01,440.37,426.38,3410.538772
26/03/2018,426.8,427.01,376.6,14922.90429
27/03/2018,396,398.68,363,10528.04997
28/03/2018,371.32,375.2,356.71,7392.000332
29/03/2018,363.2,364,308.77,25023.49285
30/03/2018,316.61,334.36,296.04,17990.39526
31/03/2018,314.28,354,313.69,10088.46435
01/04/2018,321.38,323.61,291.06,13349.66119
